engine,kind,config,benchmark,benchmark_case,scenario,run_id,threads,real_time,cpu_time,time_unit,iterations,wall_time_seconds,hostname,run_date,json_file,build_dir,stdout_file,stderr_file,command,result_dir,aggregate_name,aggregate_unit,context_caches,context_cpu_scaling_enabled,context_date,context_executable,context_host_name,context_library_build_type,context_load_avg,context_mhz_per_cpu,context_num_cpus,family_index,items_per_second,ns/interaction,per_family_instance_index,repetitions,run_name,run_type
april,microbench,native,april_vs_hardcoded,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_mean",default,20260423_193432,1,4293.409746103259,4292.542718,ms,3,96.90247,cm4r15c06s08,2026-04-23T19:37:05+02:00,results/april/native/april_vs_hardcoded/default/20260423_193432/april_vs_hardcoded.json,build/april-native,results/april/native/april_vs_hardcoded/default/20260423_193432/stdout.log,results/april/native/april_vs_hardcoded/default/20260423_193432/stderr.log,build/april-native/bin/april_vs_hardcoded --benchmark_repetitions=3 --benchmark_report_aggregates_only=true --benchmark_out_format=json --benchmark_out=april_vs_hardcoded.json,results/april/native/april_vs_hardcoded/default/20260423_193432,mean,time,"[{'type': 'Data', 'level': 1, 'size': 49152, 'num_sharing': 2}, {'type': 'Instruction', 'level': 1, 'size': 32768, 'num_sharing': 2}, {'type': 'Unified', 'level': 2, 'size': 2097152, 'num_sharing': 2}, {'type': 'Unified', 'level': 3, 'size': 110100480, 'num_sharing': 112}]",True,2026-04-23T19:37:05+02:00,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/build/april-native/bin/april_vs_hardcoded,cm4r15c06s08,release,"[1.02637, 3.82666, 4.5708]",2001,224,0,976884021.5805155,1.0236718554449025,0,3,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500",aggregate
april,microbench,native,april_vs_hardcoded,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_median",default,20260423_193432,1,4295.026258643807,4294.150077000001,ms,3,96.90247,cm4r15c06s08,2026-04-23T19:37:05+02:00,results/april/native/april_vs_hardcoded/default/20260423_193432/april_vs_hardcoded.json,build/april-native,results/april/native/april_vs_hardcoded/default/20260423_193432/stdout.log,results/april/native/april_vs_hardcoded/default/20260423_193432/stderr.log,build/april-native/bin/april_vs_hardcoded --benchmark_repetitions=3 --benchmark_report_aggregates_only=true --benchmark_out_format=json --benchmark_out=april_vs_hardcoded.json,results/april/native/april_vs_hardcoded/default/20260423_193432,median,time,"[{'type': 'Data', 'level': 1, 'size': 49152, 'num_sharing': 2}, {'type': 'Instruction', 'level': 1, 'size': 32768, 'num_sharing': 2}, {'type': 'Unified', 'level': 2, 'size': 2097152, 'num_sharing': 2}, {'type': 'Unified', 'level': 3, 'size': 110100480, 'num_sharing': 112}]",True,2026-04-23T19:37:05+02:00,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/build/april-native/bin/april_vs_hardcoded,cm4r15c06s08,release,"[1.02637, 3.82666, 4.5708]",2001,224,0,976509885.497418,1.0240551732772438,0,3,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500",aggregate
april,microbench,native,april_vs_hardcoded,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_stddev",default,20260423_193432,1,15.516290176854362,15.483523489044762,ms,3,96.90247,cm4r15c06s08,2026-04-23T19:37:05+02:00,results/april/native/april_vs_hardcoded/default/20260423_193432/april_vs_hardcoded.json,build/april-native,results/april/native/april_vs_hardcoded/default/20260423_193432/stdout.log,results/april/native/april_vs_hardcoded/default/20260423_193432/stderr.log,build/april-native/bin/april_vs_hardcoded --benchmark_repetitions=3 --benchmark_report_aggregates_only=true --benchmark_out_format=json --benchmark_out=april_vs_hardcoded.json,results/april/native/april_vs_hardcoded/default/20260423_193432,stddev,time,"[{'type': 'Data', 'level': 1, 'size': 49152, 'num_sharing': 2}, {'type': 'Instruction', 'level': 1, 'size': 32768, 'num_sharing': 2}, {'type': 'Unified', 'level': 2, 'size': 2097152, 'num_sharing': 2}, {'type': 'Unified', 'level': 3, 'size': 110100480, 'num_sharing': 112}]",True,2026-04-23T19:37:05+02:00,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/build/april-native/bin/april_vs_hardcoded,cm4r15c06s08,release,"[1.02637, 3.82666, 4.5708]",2001,224,0,3525674.1699769897,0.003692461149455237,0,3,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500",aggregate
april,microbench,native,april_vs_hardcoded,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_cv",default,20260423_193432,1,0.0036139784214486172,0.0036070749917333175,ms,3,96.90247,cm4r15c06s08,2026-04-23T19:37:05+02:00,results/april/native/april_vs_hardcoded/default/20260423_193432/april_vs_hardcoded.json,build/april-native,results/april/native/april_vs_hardcoded/default/20260423_193432/stdout.log,results/april/native/april_vs_hardcoded/default/20260423_193432/stderr.log,build/april-native/bin/april_vs_hardcoded --benchmark_repetitions=3 --benchmark_report_aggregates_only=true --benchmark_out_format=json --benchmark_out=april_vs_hardcoded.json,results/april/native/april_vs_hardcoded/default/20260423_193432,cv,percentage,"[{'type': 'Data', 'level': 1, 'size': 49152, 'num_sharing': 2}, {'type': 'Instruction', 'level': 1, 'size': 32768, 'num_sharing': 2}, {'type': 'Unified', 'level': 2, 'size': 2097152, 'num_sharing': 2}, {'type': 'Unified', 'level': 3, 'size': 110100480, 'num_sharing': 112}]",True,2026-04-23T19:37:05+02:00,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/build/april-native/bin/april_vs_hardcoded,cm4r15c06s08,release,"[1.02637, 3.82666, 4.5708]",2001,224,0,0.003609102096145198,0.003607074991673421,0,3,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500",aggregate
april,microbench,native,april_vs_hardcoded,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_mean",default,20260423_193432,1,5006.144794197648,5005.156290666667,ms,3,96.90247,cm4r15c06s08,2026-04-23T19:37:05+02:00,results/april/native/april_vs_hardcoded/default/20260423_193432/april_vs_hardcoded.json,build/april-native,results/april/native/april_vs_hardcoded/default/20260423_193432/stdout.log,results/april/native/april_vs_hardcoded/default/20260423_193432/stderr.log,build/april-native/bin/april_vs_hardcoded --benchmark_repetitions=3 --benchmark_report_aggregates_only=true --benchmark_out_format=json --benchmark_out=april_vs_hardcoded.json,results/april/native/april_vs_hardcoded/default/20260423_193432,mean,time,"[{'type': 'Data', 'level': 1, 'size': 49152, 'num_sharing': 2}, {'type': 'Instruction', 'level': 1, 'size': 32768, 'num_sharing': 2}, {'type': 'Unified', 'level': 2, 'size': 2097152, 'num_sharing': 2}, {'type': 'Unified', 'level': 3, 'size': 110100480, 'num_sharing': 112}]",True,2026-04-23T19:37:05+02:00,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/build/april-native/bin/april_vs_hardcoded,cm4r15c06s08,release,"[1.02637, 3.82666, 4.5708]",2001,224,1,837808318.7433853,1.193613660587098,0,3,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500",aggregate
april,microbench,native,april_vs_hardcoded,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_median",default,20260423_193432,1,4990.654867122669,4989.715617999998,ms,3,96.90247,cm4r15c06s08,2026-04-23T19:37:05+02:00,results/april/native/april_vs_hardcoded/default/20260423_193432/april_vs_hardcoded.json,build/april-native,results/april/native/april_vs_hardcoded/default/20260423_193432/stdout.log,results/april/native/april_vs_hardcoded/default/20260423_193432/stderr.log,build/april-native/bin/april_vs_hardcoded --benchmark_repetitions=3 --benchmark_report_aggregates_only=true --benchmark_out_format=json --benchmark_out=april_vs_hardcoded.json,results/april/native/april_vs_hardcoded/default/20260423_193432,median,time,"[{'type': 'Data', 'level': 1, 'size': 49152, 'num_sharing': 2}, {'type': 'Instruction', 'level': 1, 'size': 32768, 'num_sharing': 2}, {'type': 'Unified', 'level': 2, 'size': 2097152, 'num_sharing': 2}, {'type': 'Unified', 'level': 3, 'size': 110100480, 'num_sharing': 112}]",True,2026-04-23T19:37:05+02:00,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/build/april-native/bin/april_vs_hardcoded,cm4r15c06s08,release,"[1.02637, 3.82666, 4.5708]",2001,224,1,840384567.1831635,1.1899314183646208,0,3,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500",aggregate
april,microbench,native,april_vs_hardcoded,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_stddev",default,20260423_193432,1,27.088653046012244,27.079639685646203,ms,3,96.90247,cm4r15c06s08,2026-04-23T19:37:05+02:00,results/april/native/april_vs_hardcoded/default/20260423_193432/april_vs_hardcoded.json,build/april-native,results/april/native/april_vs_hardcoded/default/20260423_193432/stdout.log,results/april/native/april_vs_hardcoded/default/20260423_193432/stderr.log,build/april-native/bin/april_vs_hardcoded --benchmark_repetitions=3 --benchmark_report_aggregates_only=true --benchmark_out_format=json --benchmark_out=april_vs_hardcoded.json,results/april/native/april_vs_hardcoded/default/20260423_193432,stddev,time,"[{'type': 'Data', 'level': 1, 'size': 49152, 'num_sharing': 2}, {'type': 'Instruction', 'level': 1, 'size': 32768, 'num_sharing': 2}, {'type': 'Unified', 'level': 2, 'size': 2097152, 'num_sharing': 2}, {'type': 'Unified', 'level': 3, 'size': 110100480, 'num_sharing': 112}]",True,2026-04-23T19:37:05+02:00,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/build/april-native/bin/april_vs_hardcoded,cm4r15c06s08,release,"[1.02637, 3.82666, 4.5708]",2001,224,1,4518723.242785307,0.006457865843849037,0,3,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500",aggregate
april,microbench,native,april_vs_hardcoded,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_cv",default,20260423_193432,1,0.0054110806138506495,0.005410348471264082,ms,3,96.90247,cm4r15c06s08,2026-04-23T19:37:05+02:00,results/april/native/april_vs_hardcoded/default/20260423_193432/april_vs_hardcoded.json,build/april-native,results/april/native/april_vs_hardcoded/default/20260423_193432/stdout.log,results/april/native/april_vs_hardcoded/default/20260423_193432/stderr.log,build/april-native/bin/april_vs_hardcoded --benchmark_repetitions=3 --benchmark_report_aggregates_only=true --benchmark_out_format=json --benchmark_out=april_vs_hardcoded.json,results/april/native/april_vs_hardcoded/default/20260423_193432,cv,percentage,"[{'type': 'Data', 'level': 1, 'size': 49152, 'num_sharing': 2}, {'type': 'Instruction', 'level': 1, 'size': 32768, 'num_sharing': 2}, {'type': 'Unified', 'level': 2, 'size': 2097152, 'num_sharing': 2}, {'type': 'Unified', 'level': 3, 'size': 110100480, 'num_sharing': 112}]",True,2026-04-23T19:37:05+02:00,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/build/april-native/bin/april_vs_hardcoded,cm4r15c06s08,release,"[1.02637, 3.82666, 4.5708]",2001,224,1,0.005393504864648353,0.00541034847127389,0,3,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500",aggregate
april,microbench,native,april_vs_hardcoded,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_mean",default,20260423_193432,1,4865.396048287404,4864.485734333331,ms,3,96.90247,cm4r15c06s08,2026-04-23T19:37:05+02:00,results/april/native/april_vs_hardcoded/default/20260423_193432/april_vs_hardcoded.json,build/april-native,results/april/native/april_vs_hardcoded/default/20260423_193432/stdout.log,results/april/native/april_vs_hardcoded/default/20260423_193432/stderr.log,build/april-native/bin/april_vs_hardcoded --benchmark_repetitions=3 --benchmark_report_aggregates_only=true --benchmark_out_format=json --benchmark_out=april_vs_hardcoded.json,results/april/native/april_vs_hardcoded/default/20260423_193432,mean,time,"[{'type': 'Data', 'level': 1, 'size': 49152, 'num_sharing': 2}, {'type': 'Instruction', 'level': 1, 'size': 32768, 'num_sharing': 2}, {'type': 'Unified', 'level': 2, 'size': 2097152, 'num_sharing': 2}, {'type': 'Unified', 'level': 3, 'size': 110100480, 'num_sharing': 112}]",True,2026-04-23T19:37:05+02:00,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/build/april-native/bin/april_vs_hardcoded,cm4r15c06s08,release,"[1.02637, 3.82666, 4.5708]",2001,224,2,862019185.2966608,1.1600669963210972,0,3,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500",aggregate
april,microbench,native,april_vs_hardcoded,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_median",default,20260423_193432,1,4865.120472002426,4864.225687999998,ms,3,96.90247,cm4r15c06s08,2026-04-23T19:37:05+02:00,results/april/native/april_vs_hardcoded/default/20260423_193432/april_vs_hardcoded.json,build/april-native,results/april/native/april_vs_hardcoded/default/20260423_193432/stdout.log,results/april/native/april_vs_hardcoded/default/20260423_193432/stderr.log,build/april-native/bin/april_vs_hardcoded --benchmark_repetitions=3 --benchmark_report_aggregates_only=true --benchmark_out_format=json --benchmark_out=april_vs_hardcoded.json,results/april/native/april_vs_hardcoded/default/20260423_193432,median,time,"[{'type': 'Data', 'level': 1, 'size': 49152, 'num_sharing': 2}, {'type': 'Instruction', 'level': 1, 'size': 32768, 'num_sharing': 2}, {'type': 'Unified', 'level': 2, 'size': 2097152, 'num_sharing': 2}, {'type': 'Unified', 'level': 3, 'size': 110100480, 'num_sharing': 112}]",True,2026-04-23T19:37:05+02:00,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/build/april-native/bin/april_vs_hardcoded,cm4r15c06s08,release,"[1.02637, 3.82666, 4.5708]",2001,224,2,862065263.6132376,1.1600049813034181,0,3,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500",aggregate
